Unnamed: 0,第2層,第3層,第4層
プロ,入力完了,入力完了(要確認),入力完了(要確認)
総合,入力完了,入力完了(要確認),入力完了(要確認)
生涯,入力完了,入力完了,入力完了
科学,,,
知識,入力中,入力中,入力中
情報,入力中,,
技能,入力完了,入力完了,
コミュ,入力中,,
連携,入力完了,入力完了(要確認),入力完了(要確認)
社会,入力完了,入力完了,入力完了
,,,
,入力が完了したら、上記を更新してください。,,
