#N/A,,,,,,,,,,,プロ,総合,生涯,科学,知識,情報,技能,コミュ,連携,社会,その他,検討担当コンピテンシー
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,○,,,,,,,,,○,,プロ社会
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,○,,社会
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,○,,,,,,,,,,,プロ
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,〇,,,,,,,,,生涯
,,,,,,,,,,,,,〇,,,,,,,,,生涯
